Level,Ascension,HP,ATK,DEF,Ascension Stat,Ascension Value
1,0,1030.3238525390625,20.12303924560547,59.513999938964844,ATK,0
2,0,1115.8406753093877,21.793250389922832,64.45365864199448,ATK,0
3,0,1200.327248904272,23.443339953497343,69.33380765861511,ATK,0
4,0,1285.8441944987717,25.11355349666792,74.2734734562664,ATK,0
5,0,1370.330768093656,26.76364306024243,79.15362247288704,ATK,0
6,0,1455.8475908639812,28.433854204559793,84.09328117591667,ATK,0
7,0,1540.3341644588654,30.083943768134304,88.97343019253731,ATK,0
8,0,1625.8509872291907,31.754154912451668,93.91308889556694,ATK,0
9,0,1711.3679328236904,33.42436845562224,98.85275469321823,ATK,0
10,0,1795.8545064185746,35.074458019196754,103.73290370983887,ATK,0
11,0,1881.3713291888998,36.74466916351412,108.6725624128685,ATK,0
12,0,1965.857902783784,38.39475872708863,113.55271142948914,ATK,0
13,0,2051.374848378284,40.064972270259204,118.49237722714042,ATK,0
14,0,2135.8612991489936,41.7150594349805,123.3725191491394,ATK,0
15,0,2221.378121919319,43.38527057929787,128.31217785216904,ATK,0
16,0,2306.895190337993,45.055486521321654,133.25185074444198,ATK,0
17,0,2391.381763932877,46.705576084896165,138.13199976106262,ATK,0
18,0,2476.8985867032025,48.37578722921353,143.07165846409225,ATK,0
19,0,2561.3851602980867,50.02587679278804,147.9518074807129,ATK,0
20,0,2646.901983068412,51.6960879371054,152.89146618374252,ATK,0
20,1,3416.606633947318,66.72938166116546,197.35146526821518,ATK,0
21,1,3501.0932075422024,68.37947122473997,202.2316142848358,ATK,0
22,1,3586.6100303125277,70.04968236905734,207.17127298786545,ATK,0
23,1,3672.126853082853,71.7198935133747,212.1109316908951,ATK,0
24,1,3756.613426677737,73.36998307694921,216.99108070751572,ATK,0
25,1,3842.1304950964113,75.040199018973,221.93075359978866,ATK,0
26,1,3926.6168230429466,76.69028378484109,226.810888427166,ATK,0
27,1,4012.133891461621,78.36049972686487,231.75056131943893,ATK,0
