level,ascension,base_atk,substat,substat_value
1,0,43.734901428222656,crit_dmg,0.07999999821186066
2,0,47.58357533985509,crit_dmg,0.07999999821186066
3,0,51.43224403788099,crit_dmg,0.07999999821186066
4,0,55.28091794951342,crit_dmg,0.07999999821186066
5,0,59.17332359270131,crit_dmg,0.09295999319195758
6,0,63.065729235889194,crit_dmg,0.09295999319195758
7,0,66.95813487907708,crit_dmg,0.09295999319195758
8,0,70.89427746742695,crit_dmg,0.09295999319195758
9,0,74.78668311061483,crit_dmg,0.09295999319195758
10,0,78.72282048535817,crit_dmg,0.10904000038564199
11,0,82.70270001887002,crit_dmg,0.10904000038564199
12,0,86.63883739361336,crit_dmg,0.10904000038564199
13,0,90.6187169271252,crit_dmg,0.10904000038564199
14,0,94.55485430186855,crit_dmg,0.10904000038564199
15,0,98.5347338353804,crit_dmg,0.12520000177919854
16,0,102.5583451004477,crit_dmg,0.12520000177919854
17,0,106.53822463395954,crit_dmg,0.12520000177919854
18,0,110.51809374025834,crit_dmg,0.12520000177919854
19,0,114.54170500532564,crit_dmg,0.12520000177919854
20,0,118.56531627039294,crit_dmg,0.14135999363601215
20,1,144.46531588892321,crit_dmg,0.14135999363601215
21,1,148.48892715399052,crit_dmg,0.14135999363601215
22,1,152.51253841905782,crit_dmg,0.14135999363601215
23,1,156.53614968412512,crit_dmg,0.14135999363601215
24,1,160.60349268074788,crit_dmg,0.14135999363601215
25,1,164.62710394581518,crit_dmg,0.1575199950295687
26,1,168.694457369651,crit_dmg,0.1575199950295687
27,1,172.76180036627375,crit_dmg,0.1575199950295687
28,1,176.8291433628965,crit_dmg,0.1575199950295687
29,1,180.89648635951926,crit_dmg,0.1575199950295687
30,1,184.96383978335507,crit_dmg,0.17367999642312526
31,1,189.07491451153328,crit_dmg,0.17367999642312526
32,1,193.14225750815604,crit_dmg,0.17367999642312526
33,1,197.2533426635473,crit_dmg,0.17367999642312526
34,1,201.3206960873831,crit_dmg,0.17367999642312526
35,1,205.43177081556132,crit_dmg,0.18983998827993886
36,1,209.54284554373953,crit_dmg,0.18983998827993886
37,1,213.65394112634385,crit_dmg,0.18983998827993886
38,1,217.76501585452206,crit_dmg,0.18983998827993886
39,1,221.87609058270027,crit_dmg,0.18983998827993886
40,1,225.98716531087848,crit_dmg,0.20599999921023837
40,2,251.9871672182271,crit_dmg,0.20599999921023837
41,2,256.09826280083144,crit_dmg,0.20599999921023837
42,2,260.20933752900964,crit_dmg,0.20599999921023837
43,2,264.3641439887433,crit_dmg,0.20599999921023837
44,2,268.47523957134763,crit_dmg,0.20599999921023837
45,2,272.6300460310813,crit_dmg,0.22215999106705198
46,2,276.78487334524107,crit_dmg,0.22215999106705198
47,2,280.8959480734193,crit_dmg,0.22215999106705198
48,2,285.05075453315294,crit_dmg,0.22215999106705198
49,2,289.2055818473127,crit_dmg,0.22215999106705198
50,2,293.3603883070464,crit_dmg,0.23832000199735148
50,3,319.2603898329253,crit_dmg,0.23832000199735148
51,3,323.41521714708506,crit_dmg,0.23832000199735148
52,3,327.5700236068187,crit_dmg,0.23832000199735148
53,3,331.7248509209785,crit_dmg,0.23832000199735148
54,3,335.87965738071216,crit_dmg,0.23832000199735148
55,3,340.0344638404458,crit_dmg,0.2544799938541651
56,3,344.23302288616105,crit_dmg,0.2544799938541651
57,3,348.3878293458947,crit_dmg,0.2544799938541651
58,3,352.5426566600545,crit_dmg,0.2544799938541651
59,3,356.7411948513436,crit_dmg,0.2544799938541651
60,3,360.8960221655034,crit_dmg,0.2706399857109787
60,4,386.79601606198776,crit_dmg,0.2706399857109787
61,4,390.9945542532769,crit_dmg,0.2706399857109787
62,4,395.14938156743665,crit_dmg,0.2706399857109787
63,4,399.3479406131519,crit_dmg,0.2706399857109787
64,4,403.546478804441,crit_dmg,0.2706399857109787
65,4,407.70130611860077,crit_dmg,0.2867999966412782
66,4,411.8998443098899,crit_dmg,0.2867999966412782
67,4,416.0984033556051,crit_dmg,0.2867999966412782
68,4,420.29694154689423,crit_dmg,0.2867999966412782
69,4,424.49550059260946,crit_dmg,0.2867999966412782
70,4,428.6940596383247,crit_dmg,0.30287999429821966
70,5,454.6940596383247,crit_dmg,0.30287999429821966
71,5,458.8925978296138,crit_dmg,0.30287999429821966
72,5,463.09115687532903,crit_dmg,0.30287999429821966
73,5,467.28969506661815,crit_dmg,0.30287999429821966
74,5,471.4882541123334,crit_dmg,0.30287999429821966
75,5,475.6867923036225,crit_dmg,0.31903998615503326
76,5,479.8853513493377,crit_dmg,0.31903998615503326
77,5,484.08388954062684,crit_dmg,0.31903998615503326
78,5,488.2824694407682,crit_dmg,0.31903998615503326
79,5,492.52471850918664,crit_dmg,0.31903998615503326
80,5,496.723298409328,crit_dmg,0.33519999708533277
80,6,522.6233075646014,crit_dmg,0.33519999708533277
81,6,526.8218457558905,crit_dmg,0.33519999708533277
82,6,531.0641365331612,crit_dmg,0.33519999708533277
83,6,535.2626747244503,crit_dmg,0.33519999708533277
84,6,539.4612546245917,crit_dmg,0.33519999708533277
85,6,543.7035036930101,crit_dmg,0.3513600080156323
86,6,547.9020835931515,crit_dmg,0.3513600080156323
87,6,552.1443743704222,crit_dmg,0.3513600080156323
88,6,556.3429125617113,crit_dmg,0.3513600080156323
89,6,560.585203338982,crit_dmg,0.3513600080156323
90,6,564.7837415302711,crit_dmg,0.36751998079896
